cow_id,breed,rumination_time,avg_lameness,estrus_sign,estrus_status,ax,ay,az,gx,gy,gz,step_count,health_status,label
cow_3,Cross Breed,471,3.93,restless,in_estrus,1.05,2.15,-0.33,-0.07,2.57,2.76,32,unhealthy,unhealthy_in_estrus
cow_4,Normal Breed,457,1.11,none,not_in_estrus,0.05,-0.44,-0.14,1.05,-4.3,-0.14,8,healthy,healthy_not_in_estrus
cow_8,Cross Breed,512,1.2,restless,in_estrus,0.12,0.72,2.36,-3.98,-10.37,-1.03,39,healthy,healthy_in_estrus
cow_3,Cross Breed,277,0.58,none,not_in_estrus,-0.03,0.51,-0.79,-2.47,-1.69,-0.08,5,unhealthy,unhealthy_not_in_estrus
cow_10,Cross Breed,370,2.38,standing_mount,in_estrus,0.54,-0.2,1.07,2.6,-1.84,5.1,27,unhealthy,unhealthy_in_estrus
cow_20,Cross Breed,465,0.89,none,not_in_estrus,-0.55,0.66,-0.77,0.29,-3.47,0.32,5,healthy,healthy_not_in_estrus
cow_1,Normal Breed,527,0.96,none,not_in_estrus,0.02,0.36,0.58,-2.41,-1.17,-0.77,10,healthy,healthy_not_in_estrus
cow_20,Cross Breed,262,1.8,none,not_in_estrus,0.25,0.06,0.42,0.05,0.85,0.23,6,unhealthy,unhealthy_not_in_estrus
cow_9,Cross Breed,497,3.76,bellowing,in_estrus,-0.64,0.85,-1.57,-1.28,4.01,-0.51,40,unhealthy,unhealthy_in_estrus
cow_7,Cross Breed,340,3.68,bellowing,in_estrus,1.7,-0.83,1.15,-6.9,-7.26,1.26,37,unhealthy,unhealthy_in_estrus
cow_10,Cross Breed,524,4.43,none,not_in_estrus,0.46,-0.23,-0.27,-2.66,0.34,0.89,10,unhealthy,unhealthy_not_in_estrus
cow_1,Normal Breed,155,0.84,restless,in_estrus,2.16,-1.76,1.88,2.48,7.98,3.66,31,unhealthy,unhealthy_in_estrus
cow_5,Normal Breed,477,3.84,mounting_others,in_estrus,-0.32,-3.17,1.1,-8.1,5.95,-1.12,34,unhealthy,unhealthy_in_estrus
cow_5,Cross Breed,422,3.22,mounting_others,in_estrus,-0.44,4.64,0.85,-4.17,-10.47,-1.77,30,unhealthy,unhealthy_in_estrus
cow_10,Cross Breed,175,0.59,none,not_in_estrus,0.55,0.68,-0.91,-1.72,-1.28,1.11,9,unhealthy,unhealthy_not_in_estrus
cow_6,Normal Breed,527,2.36,none,not_in_estrus,-0.61,0.52,0.59,1.12,-1.55,2.45,5,unhealthy,unhealthy_not_in_estrus
cow_13,Normal Breed,490,1.96,none,not_in_estrus,-0.37,0.83,-0.49,1.52,5.32,-0.31,9,healthy,healthy_not_in_estrus
cow_4,Normal Breed,389,1,mounting_others,in_estrus,0.56,0.03,-1.43,-2.3,6.62,0.26,21,healthy,healthy_in_estrus
cow_8,Normal Breed,496,0.64,none,not_in_estrus,0.36,-0.48,0.05,-0.3,0.19,2,9,healthy,healthy_not_in_estrus
cow_7,Cross Breed,543,4.07,none,not_in_estrus,0.23,0.17,0.03,-0.56,-1.79,-0.82,7,unhealthy,unhealthy_not_in_estrus
cow_12,Cross Breed,591,2.82,none,not_in_estrus,0.3,-0.39,-0.45,-0.84,1,-2.2,10,unhealthy,unhealthy_not_in_estrus
